Narration,Date,Withdrawal,Deposit,Closing,Keyword
UPI BHARATPE CASHFREEBHARATP YESBANK YES B PAYMENT FROM PHONE,31/01/2023,"3,000.00",0.00,"2,82,598.33",UPI
UPI BHARATPE CASHFREEBHARATP YESBANK YES B PAYMENT FROM PHONE,31/01/2023,"2,000.00",0.00,"2,80,598.33",UPI
UPI BHARATPE CASHFREEBHARATP YESBANK YES B PAYMENT FROM PHONE,31/01/2023,"10,000.00",0.00,"2,70,598.33",UPI
NEFT CR UTIB CEREMORPHIC TECHNOLO GIES PRIVATE L BHEEMA ROHIT AXISP SALARY JAN,31/01/2023,0.00,"1,03,429.00","3,74,027.33",SALARY
UPI ABHISHEK NEGI ABHI ICICI ICIC PAYMENT FROM PHONE,31/01/2023,185.00,0.00,"3,73,842.33",UPI
UPI BHEEMA ROHITH ROHITHBHEEMA AXL CNRB PAYMENT FROM PHONE,31/01/2023,0.00,"8,000.00","3,81,842.33",UPI
UPI SIMPL CFSIMPL YESBANK YESB UPI INTENT,31/01/2023,35.00,0.00,"3,81,807.33",SIMPL
UPI SURIGALA CHANDRA SHE PAYTM PAYTM PYTM OID,31/01/2023,80.00,0.00,"3,81,727.33",UPI
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,31/01/2023,30.00,0.00,"3,81,697.33",PAYMENTTOROPPENTRA
UPI MR POTNOORU SOMU KUM PAYTM PAYTM PYTM OID,31/01/2023,110.00,0.00,"3,81,587.33",UPI
UPI PURIMETLA NARESH BAB YBL SBIN PAYMENT FROM PH ONE,31/01/2023,"1,490.00",0.00,"3,80,097.33",UPI
UPI NPS TRUST NPSTRUST RZP MAIRTEL AIRP PAYVIARAZORPAY,31/01/2023,"1,000.00",0.0,"3,79,097.33",NPS
UPI ICCL ICCLMF YBL YESB YBLUPI COLLECT REQUEST FR,01/02/2023,150.00,0.0,"3,78,947.33",ICCLMF
UPI NPS TRUST NPSTRUST RZP MAIRTEL AIRP PAYVIARAZORPAY,01/02/2023,"10,000.00",0.0,"3,68,947.33",NPS
ACH D INDIAN CLEARING CORP QCS C Y,01/02/2023,100.00,0.0,"3,68,847.33",ACH
ACH D INDIAN CLEARING CORP LJ X VTPERJM,01/02/2023,100.00,0.0,"3,68,747.33",ACH
ACH D INDIAN CLEARING CORP QDWNZTVU W B,01/02/2023,"2,000.00",0.0,"3,66,747.33",ACH
ACH D INDIAN CLEARING CORP UNB E WX ZT,01/02/2023,"2,000.00",0.0,"3,64,747.33",ACH
